ASV_ID	P16609_1001	P16609_1002	P16609_1003	P16609_1004	P16609_1005	P16609_1006	P16609_1007	P16609_1008	P16609_1009
5bdb2ac353127cd55b0edc0da340f948	0	0	0	0	0	0	0	0	0
b36c6d772105377d9d54140741bcffc5	0	0	0	0	0	0	0	0	0
20a90596687aba3b0e665cc1f841b3af	70	88	64	29	60	25	13	30	24
65a80e8b397f2a74a046189986d2710a	0	24	0	0	27	0	0	0	0
8602d3b48e74936265f0575f2e0b9910	104	124	109	68	94	48	22	32	48
0ed6ada3b27ee4c593225c0c1bae3127	84	106	101	0	152	0	0	0	0
e9f4c2fdd29e9a5295e25dccbba6a731	0	0	0	0	0	0	0	0	0
b3cbeae7d7560b285766ebf0563e38cf	52	87	62	45	94	28	23	84	51
5b4d445dfdb546179e0c8c5d1dfdd369	0	0	0	0	0	0	0	27	0
75ace96b10c2ea95a7debec153c153d1	28	41	38	22	41	27	8	15	40
56fa1dafeb007219a436225686b03582	57	125	128	61	145	56	0	47	30
d78db8cc479f8e4551cc92ed1df2b1a5	0	0	0	0	0	0	0	0	0
d01a78569fc5292c36ce14df08ceb4c8	0	0	0	0	0	0	0	0	0
b0416cd1836b603643f4f998a4633553	12	19	27	12	12	9	6	12	11
6e2fe8979748a5e70fdd60122ba5fbb0	0	138	0	54	152	0	0	0	0
54d1ac6d5124bdd73ffbeb1674cc7e49	0	0	0	0	0	0	0	0	0
c8281612ef6a13745cd3da492df1ce8b	0	0	0	0	0	0	0	0	0
afe44d16f8950bde7c5ba2844259951d	18	27	29	79	57	370	0	295	10
bfb4426a90f8d30c4f822b45213d0018	0	0	0	2	0	0	0	0	0
0fa79b163a2f27efbc8b1a08328410ae	21	33	24	19	38	23	0	32	20
4f1cf0253c18bea5172c557e02c4007c	39	64	51	36	56	42	7	11	23
8ff1ef9edba01b521319db3186702edc	103	112	102	0	56	0	0	0	0
b0b360136186c8efc11065d264dbf413	43	73	42	51	81	48	17	27	44
49fda64a479dae6395bb9ee114c8580c	0	0	0	0	39	0	0	0	0
c346c03b0e00c12c320e8d9da8b868b0	57	72	84	31	86	36	0	0	0
e8b614ff3a8e6a64c3b1cf8d59d449d5	0	60	0	0	47	0	36	108	87
09549107f07aade8fd65aca304b83aaf	0	0	0	0	0	0	0	0	0
504c8f91ff69642c329c779a77f1bc23	0	0	0	0	0	0	0	0	0
ab7c1df2c0ab55a6cc42dae83669c72f	0	0	0	101	0	0	0	221	113
3638f2062c305c79df283ef573a10b97	0	0	0	0	0	0	0	0	0
d03fa672e9f70f13bb1b2ce88571ce24	0	55	0	25	78	0	0	0	0
72a5ef3d87e961de6ff2e7eea506fd57	0	0	0	0	0	0	0	0	0
a2f805a38f13c5fb57e68163fab1c82d	30	37	47	16	49	22	19	82	46
53ad3298cda8526397b4ff3c4afc237f	0	6	0	0	0	0	0	0	0
d6ef11fe76d6fcb74379164053fd17f4	39	76	77	24	90	39	15	11	30
8a388b2fedb1e9ce85fd666ae0bd9e47	60	99	108	50	77	74	0	18	25
6941bbe783ae8cae627dc67cb21551be	0	0	0	0	0	0	0	0	0
f2afda01755f29731cc62b1bd9fbac03	0	0	0	0	0	0	0	0	0
afacb344117596b3ddfa6a65a3b796df	65	108	68	49	121	77	0	54	41
96d14a97a7a256965c43734595f44b57	0	8	0	0	0	0	6	2	11
